Region_Code,Region,State,State-Name,1969-Births,1979-Births,1989-Births,1969-GDP-C-DLS,1979-GDP-C-DLS,1989-GDP-C-DLS,1969-Med-HH-Inc,1979-Med-HH-Inc,1989-Med-HH-Inc,1969-HH-Inc-Per-C-DLS,1979-HH-Inc-Per-C-DLS,1989-HH-Inc-Per-C-DLS
1,Far West,AK,Alaska,6824,9005,11105,2074,10891,23453,11817,25414,41408,26966,38693,37557
2,Great Lakes,IL,Illinois,193136,181153,181679,60840,139253,266608,9706,19321,32252,25301,30619,32419
2,Great Lakes,IN,Indiana,94562,87380,81635,24212,57918,107199,8921,17582,28797,22224,27111,28043
2,Great Lakes,MI,Michigan,163940,143237,137965,47895,105413,190626,9997,19223,31020,24302,29184,30186
2,Great Lakes,MN,Minnesota,65958,65744,66409,17681,46861,98313,8753,17761,30909,21993,28284,30687
2,Great Lakes,OH,Ohio,189544,167117,161647,52817,117117,217817,9279,17754,28706,23158,27654,28708
2,Great Lakes,WI,Wisconsin,74044,72839,70385,19521,50101,95217,8997,17680,29442,21949,27494,28314
3,Midsouth,DC,District of Columbia,27780,20232,21351,8096,18417,37469,8283,16211,30727,27813,34012,40268
3,Midsouth,DE,Delaware,10116,9184,10959,3069,7304,18900,9309,17846,34875,23636,28276,33812
3,Midsouth,KY,Kentucky,58276,60030,50381,13206,35838,65526,6537,13965,22534,17555,22692,23786
3,Midsouth,MD,Maryland,60326,50980,68083,17385,43628,107444,10101,20281,39386,25424,31480,37813
3,Midsouth,NC,North Carolina,93956,84249,97868,20882,54515,133866,7025,14481,26647,17910,23281,27480
3,Midsouth,TN,Tennessee,73248,72148,75595,15167,42194,91579,6631,14142,24807,17837,23585,26136
3,Midsouth,VA,Virginia,78364,73949,90291,19638,53398,137661,8293,17475,33328,21689,28386,33511
3,Midsouth,WV,West Virginia,29198,30198,22801,6381,17424,26663,6487,14564,20795,16889,23311,22436
4,Midwest,IA,Iowa,47896,47321,38361,12332,33496,52907,7880,16799,26229,20878,27088,26492
4,Midwest,KS,Kansas,35456,37419,37574,9166,26300,48814,7578,16362,27291,21204,27901,28365
4,Midwest,MO,Missouri,81266,78562,78331,21095,50601,101412,7672,15581,26362,21370,26257,27702
4,Midwest,ND,North Dakota,11276,12752,11441,2178,7218,10730,6909,15293,23213,17874,24359,23568
4,Midwest,NE,Nebraska,24806,26566,24266,6537,17423,31332,7426,15925,26016,20248,26329,26556
4,Midwest,SD,South Dakota,11276,12858,11253,2273,6716,11790,6450,13156,22503,17280,21626,22737
5,Mountain West,AZ,Arizona,34064,46714,65655,7563,27495,67896,8199,16448,27540,21262,26728,28708
5,Mountain West,CO,Colorado,40100,47741,53518,9480,33785,71179,8423,18056,30140,22485,30360,31609
5,Mountain West,ID,Idaho,13072,19533,15563,2750,9286,16909,7482,15285,25257,19140,23717,24434
5,Mountain West,MT,Montana,11620,13804,11393,2761,8173,12630,7436,15420,22988,19517,25012,23914
5,Mountain West,NM,New Mexico,21316,24768,26686,4091,13141,24927,7096,14654,24087,17642,23228,23984
5,Mountain West,UT,Utah,24810,42095,37021,4036,13709,28668,8482,17671,29470,19524,23934,23522
5,Mountain West,WY,Wyoming,5874,9055,6768,1801,8063,11437,8035,19994,27096,20957,30091,26256
6,New England,CT,Connecticut,49184,38445,48152,15628,36855,95831,10877,20077,41721,28124,32308,43057
6,New England,MA,Massachusetts,94852,72283,89958,27476,62965,158200,9563,17575,36952,24671,28311,36734
6,New England,ME,Maine,17296,15810,16520,3695,9335,22670,7315,13816,27854,18445,21895,27633
6,New England,NH,New Hampshire,12288,12819,17053,2817,8351,23777,8652,17013,36329,21609,26443,34036
6,New England,RI,Rhode Island,15854,12251,14689,4113,8845,21059,8617,16097,32181,22594,26181,31950
6,New England,VT,Vermont,7778,7292,7871,1798,4399,11120,7961,14790,29792,20067,23452,28849
7,North West,OR,Oregon,34486,42870,41345,9353,28372,52610,8296,16780,27250,22789,28686,28617
7,North West,WA,Washington,59238,63819,71396,18091,48713,108064,9125,18367,31183,24302,30645,31826
8,Northeast,NJ,New Jersey,113754,93370,114585,35852,81051,205075,10371,19800,40927,26597,30850,39911
8,Northeast,NY,New York,311984,236975,281569,107031,217725,473252,9268,16647,32965,26119,28462,35192
8,Northeast,PA,Pennsylvania,186692,159073,166771,54486,120527,233162,8548,16880,29069,22195,26864,30003
9,South Central,AR,Arkansas,33400,35406,34139,6232,19099,37128,5356,12214,21147,15506,21311,22436
9,South Central,LA,Louisiana,75092,79365,74236,16321,51653,87574,6538,15227,21949,16867,24408,22681
9,South Central,OK,Oklahoma,41756,47389,46401,9622,31546,55007,6596,14750,23577,19502,26033,25364
9,South Central,TX,Texas,226868,260561,307563,48575,171608,349952,7538,16708,27016,20212,27350,27520
10,Southeast,AL,Alabama,64068,61688,59917,11866,33712,68394,6419,13669,23597,16773,22374,24496
10,Southeast,FL,Florida,106926,120774,183968,27428,86263,241633,7168,14675,27483,22137,27597,31346
10,Southeast,GA,Georgia,91622,89582,107023,18082,51550,133794,7346,15033,29021,19111,24302,29071
10,Southeast,MS,Mississippi,47102,45628,41269,6801,20011,37209,5221,12096,20136,13935,19675,20576
10,Southeast,SC,South Carolina,49182,48631,53003,8874,25507,61347,6835,14711,26256,16672,22343,25373
11,West,CA,California,352858,379212,533429,106629,293491,722979,9302,18243,35798,26162,31488,34995
11,West,HI,Hawaii,15750,17568,19051,4262,11869,29427,10675,20473,38829,24418,29381,33633
11,West,NV,Nevada,8902,12293,17894,2947,10295,27847,9505,18211,31011,25728,32088,32447
