Region,1969-Births,1979-Births,1989-Births,1969-GDP-C-DLS,1979-GDP-C-DLS,1989-GDP-C-DLS,1969-Med-HH-Inc,1979-Med-HH-Inc,1989-Med-HH-Inc,1969-HH-Inc-Per-C-DLS,1979-HH-Inc-Per-C-DLS,1989-HH-Inc-Per-C-DLS
Great Lakes,781184,717470,699720,222966,516663,975780,55653,109321,181126,138927.4872,170345.5,178357.701
Midsouth,431264,400970,437329,103824,272718,619108,62666,128965,233099,168752.9912,215024.42,245241.3057
Midwest,211976,215478,201226,53581,141754,256985,43915,93116,151614,118853.1856,153559.588,155420.5125
Mountain West,150856,203710,216604,32482,113652,233646,55153,117528,186578,140527.3504,183069.692,182426.8926
New England,197252,158900,194243,55527,130750,332657,52985,99368,204829,135510.5848,158589.288,202258.8699
North West,93724,106689,112741,27444,77085,160674,17421,35147,58433,47090.996,59331.48,60442.8507
Northeast,612430,489418,562925,197369,419303,911489,28187,53327,102961,74911.2416,86176.792,105105.8541
South Central,377116,422721,462339,80750,273906,529661,26028,58899,93689,72087.9536,99102.172,98001.8304
Southeast,358900,366303,445180,73051,217043,542377,32989,70184,126493,88629.5256,116290.46,130862.472
West,384334,418078,581479,115912,326546,803706,41299,82341,147046,103274.4272,131649.076,138631.8981
United States,3599036,3499737,3913786,962906,2489420,5366083,416296,848196,1485868,1088565.743,1373138.468,1496750.187
