Key,Year,State,Births
1969-AK,1969,AK,6824
1970-AK,1970,AK,7464
1971-AK,1971,AK,7244
1972-AK,1972,AK,6892
1973-AK,1973,AK,6566
1974-AK,1974,AK,7014
1975-AK,1975,AK,7392
1976-AK,1976,AK,7816
1977-AK,1977,AK,8286
1978-AK,1978,AK,8752
1979-AK,1979,AK,9005
1980-AK,1980,AK,9462
1981-AK,1981,AK,9985
1982-AK,1982,AK,11146
1983-AK,1983,AK,11868
1984-AK,1984,AK,12324
1985-AK,1985,AK,12693
1986-AK,1986,AK,12007
1987-AK,1987,AK,11540
1988-AK,1988,AK,11105
1969-AL,1969,AL,64068
1970-AL,1970,AL,66878
1971-AL,1971,AL,66188
1972-AL,1972,AL,61206
1973-AL,1973,AL,58944
1974-AL,1974,AL,58920
1975-AL,1975,AL,57498
1976-AL,1976,AL,57282
1977-AL,1977,AL,61076
1978-AL,1978,AL,59185
1979-AL,1979,AL,61688
1980-AL,1980,AL,62370
1981-AL,1981,AL,60592
1982-AL,1982,AL,59229
1983-AL,1983,AL,58105
1984-AL,1984,AL,58169
1985-AL,1985,AL,58622
1986-AL,1986,AL,58204
1987-AL,1987,AL,58631
1988-AL,1988,AL,59917
1969-AR,1969,AR,33400
1970-AR,1970,AR,34746
1971-AR,1971,AR,35040
1972-AR,1972,AR,33040
1973-AR,1973,AR,32764
1974-AR,1974,AR,33856
1975-AR,1975,AR,33628
1976-AR,1976,AR,33292
1977-AR,1977,AR,34702
1978-AR,1978,AR,33822
1979-AR,1979,AR,35406
1980-AR,1980,AR,36338
1981-AR,1981,AR,34716
1982-AR,1982,AR,34325
1983-AR,1983,AR,34261
1984-AR,1984,AR,34331
1985-AR,1985,AR,34514
1986-AR,1986,AR,33877
1987-AR,1987,AR,34023
1988-AR,1988,AR,34139
1969-AZ,1969,AZ,34064
1970-AZ,1970,AZ,37362
1971-AZ,1971,AZ,38296
1972-AZ,1972,AZ,37278
1973-AZ,1973,AZ,37852
1974-AZ,1974,AZ,39846
1975-AZ,1975,AZ,39416
1976-AZ,1976,AZ,40038
1977-AZ,1977,AZ,41816
1978-AZ,1978,AZ,43012
1979-AZ,1979,AZ,46714
1980-AZ,1980,AZ,50078
1981-AZ,1981,AZ,51624
1982-AZ,1982,AZ,52394
1983-AZ,1983,AZ,53464
1984-AZ,1984,AZ,54862
1985-AZ,1985,AZ,59319
1986-AZ,1986,AZ,60800
1987-AZ,1987,AZ,63344
1988-AZ,1988,AZ,65655
1969-CA,1969,CA,352858
1970-CA,1970,CA,362682
1971-CA,1971,CA,329816
1972-CA,1972,CA,306538
1973-CA,1973,CA,298062
1974-CA,1974,CA,312018
1975-CA,1975,CA,317598
1976-CA,1976,CA,332220
1977-CA,1977,CA,347428
1978-CA,1978,CA,356180
1979-CA,1979,CA,379212
1980-CA,1980,CA,403014
1981-CA,1981,CA,420892
1982-CA,1982,CA,429864
1983-CA,1983,CA,436060
1984-CA,1984,CA,447574
1985-CA,1985,CA,471155
1986-CA,1986,CA,482530
1987-CA,1987,CA,503655
1988-CA,1988,CA,533429
1969-CO,1969,CO,40100
1970-CO,1970,CO,42544
1971-CO,1971,CO,41148
